State,Name,Subname,Stats 55% 100%,HP 55%,HP 100%,ATK 55%,ATK 100%,DEF 55%,DEF 100%,Leader Skill,Passive Name,Passive Skill,Active Name,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition,Release Date,Ki Multiplier,DMG Multiplier
Base,Super Saiyan 3 Goku (Angel),Pressed-for-Time Showdown,"HP 15,350 17,950 | ATK 12,700 15,700 | DEF 9,825 13,225","15,350","17,950","12,700","15,700","9,825","13,225","""Majin Buu Saga"", ""Otherworld Warriors"" or ""Accelerated Battle"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Kamehameha"" or ""Time Limit"" Category",Buying Time at All Costs,"Activates the Entrance Animation (once only), chance of performing a critical hit +50% for 5 turns from the character's entry turn and reduces damage received by 90% upon the character's entry and with each turn passed, damage reduction rate -15% (no more than -90%) when there is another ""Majin Buu Saga"" Category ally on the team upon the character's entry, Ki +2 and ATK & DEF +150%, Plus an additional ATK & DEF +150% when performing a Super Attack, Reduces damage received by 5% with each Super Attack performed (up to 30%), Medium chance of performing a critical hit, Launches an additional attack that has a great chance of becoming a Super Attack, When there is another ""Majin Buu Saga"" Category ally attacking in the same turn, plus an additional DEF +100% and guards all attacks as the 1st attacker in a turn and an additional ATK +100% and launches an additional Super Attack as the 2nd or 3rd attacker in a turn, High chance of nullifying Ki Blast Super Attacks directed at the character and countering with tremendous power",Full Power Kamehameha,"Can be activated when there is another ""Majin Buu Saga"" Category ally attacking in the same turn starting from the 4th turn from the start of battle (once only) Massively raises ATK temporarily, causes ultimate damage to enemy and, within the turn activated, all attacks become critical hits",Greatly raises ATK & DEF for 1 turn and causes immense damage with a high chance of stunning the enemy,,"Golden Warrior, Super Saiyan, The Saiyan Lineage, Over in a Flash, Limit-Breaking Form, Kamehameha, Fierce Battle","Majin Buu Saga, Pure Saiyans, Goku's Family, Super Saiyan 3, Power Beyond Super Saiyan, Kamehameha, Mastered Evolution, Time Limit, Bond of Parent and Child, Bond of Friendship, Turtle School, Earth-Bred Fighters, Otherworld Warriors, Resurrected Warriors, Accelerated Battle",,"Apr 26, 2024",150%,505%
Base,Hirudegarn,Terrifying Phantom Majin,"HP 14,750 17,750 | ATK 12,400 15,400 | DEF 10,500 13,500","14,750","17,750","12,400","15,400","10,500","13,500","""Movie Bosses"" or ""Resurrected Warriors"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Legendary Existence"" or ""Transformation Boost"" Category",Malicious-Staring Monster,"Activates the Entrance Animation upon the character's entry (once only) and Ki +3, ATK & DEF +100% and high chance of performing a critical hit for 5 turns from the character's entry turn, ATK & DEF +200%, Plus an additional ATK +100% when attacking, Great chance of evading enemy's attack (including Super Attack), Launches an additional attack that has a great chance of becoming a Super Attack within the same turn after evading an attack (including Super Attack), Plus an additional DEF +10% (up to 50%) with each attack evaded (including Super Attack)",Transformation,"Can be activated when HP is 70% or less starting from the 3rd turn from the start of battle, or starting from the 6th turn from the start of battle (once only) Transforms",Raises DEF and causes immense damage to enemy,,"Brutal Beatdown, Berserker, Big Bad Bosses, Revival, Nightmare, Fear and Faith, Fierce Battle","Transformation Boost, Uncontrollable Power, Demonic Power, Movie Bosses, Resurrected Warriors, Time Travelers, Storied Figures, Legendary Existence, Planetary Destruction","Can be activated when HP is 70% or less starting from the 3rd turn from the start of battle, or starting from the 6th turn from the start of battle (once only)","Apr 1, 2024",150%,505%
Base,Super Vegeta,Tenacious Secret Plan,"HP 17,741 20,741 | ATK 18,316 21,716 | DEF 10,010 12,610","17,741","20,741","18,316","21,716","10,010","12,610","""Mastered Evolution"" or ""Pure Saiyans"" Category Ki +3 and HP, ATK & DEF +170%",Fight's Over!,"Ki +2 and ATK & DEF +200%, Guards all attacks for 5 turns from the character's entry turn, Plus an additional ATK & DEF +100% when performing a Super Attack, Plus an additional ATK & DEF +50% with each Super Attack performed (up to 100%), Plus an additional ATK & DEF +50% within the same turn after receiving an attack, Launches an additional Super Attack within the same turn after receiving an attack, plus an additional ATK & DEF +50% and guards all attacks when there is an enemy whose name includes ""Cell"" (characters such as Cell Jr. excluded), Stuns enemies attacked by the character's Super Attack","""I am Super Vegeta!""","Can be activated when HP is 50% or more starting from the 5th turn from the start of battle, or after the character receives an attack 1 or more times when there is an enemy whose name includes ""Cell"" (characters such as Cell Jr. excluded) (once only) Ki +5 and ATK +50% for 1 turn",Raises DEF for 1 turn and causes immense damage to enemy; all attacks become critical hits for 1 turn,,"Super Saiyan, Royal Lineage, Prodigies, Saiyan Pride, Golden Warrior, Prepared for Battle, Fierce Battle","Androids/Cell Saga, Pure Saiyans, Vegeta's Family, Super Saiyans, Power Beyond Super Saiyan, Full Power, Rapid Growth, Mastered Evolution, Worthy Rivals, Gifted Warriors, Heavenly Events",,"Mar 25, 2024",150%,505%
Transformation,Super Saiyan Vegeta,Awakening of the Prince,"HP 13,625 16,225 | ATK 12,692 16,092 | DEF 9,948 12,948","13,625","16,225","12,692","16,092","9,948","12,948","""Vegeta's Family"" or ""Super Saiyans"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Pure Saiyans"", ""Battle of Wits"" or ""Mastered Evolution"" Category",Shocking Evolution,"Ki +3 and ATK & DEF +180%, Guards all attacks, Reduces damage received by 18%, Plus an additional ATK +180% when attacking and if HP is 30% or more when attacking, launches an additional attack that has a great chance of becoming a Super Attack, Plus an additional ATK +30% if the target enemy's HP is 80% or less when attacking, plus an additional ATK +30% if the target enemy's HP is 60% or less when attacking, plus an additional ATK +50% if the target enemy's HP is 40% or less when attacking, Plus an additional DEF +180% when receiving an attack, Launches an additional Super Attack within the same turn and disables the attacked enemy's action once within the turn after receiving an attack",Big Bang Attack,"Can be activated after the character receives an attack 3 or more times in battle, or when facing only 1 enemy, whose HP is 80% or less (once only) Massively raises ATK temporarily and causes ultimate damage to enemy; all attacks become critical hits within the turn activated","Greatly raises ATK & DEF for 1 turn, causes immense damage to enemy and seals Super Attack",,"Saiyan Warrior Race, Super Saiyan, Prepared for Battle, Golden Warrior, Prodigies, Saiyan Pride, Fierce Battle","Androids/Cell Saga, Pure Saiyans, Vegeta's Family, Super Saiyans, Transformation Boost, Mastered Evolution, Gifted Warriors, Battle of Wits",,"Mar 18, 2024",150%,505%
Base,Super Saiyan Trunks (Teen) & Super Saiyan Broly,Unity Forged in Another World,"HP 14,878 17,478 | ATK 15,649 19,049 | DEF 11,813 14,813","14,878","17,478","15,649","19,049","11,813","14,813","""Time Travelers"" Category Ki +3 and HP, ATK & DEF +80%",Battles Fought in Another World,"Ki +4 and ATK & DEF +100%, Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres as the 1st or 3rd attacker in a turn at start of turn, Plus an additional Ki +2 per Rainbow Ki Sphere obtained, Plus an additional ATK +20% per Rainbow Ki Sphere obtained, Launches 2 additional attacks, each of which has a medium chance of becoming a Super Attack, High chance of performing a critical hit, Plus an additional ATK & DEF +40% when performing a Super Attack, Plus an additional ATK & DEF +31% and reduces damage received by 8% within the same turn with each Super Attack performed",Power of Unity,"Can be activated when HP is 40% or less, or starting from the 6th turn from the start of battle (once only) Ki +20, ATK +60% and attacks guaranteed to hit for 1 turn",Raises ATK & DEF for 1 turn and causes colossal damage to enemy,"Raises ATK & DEF for 1 turn, causes mega-colossal damage to enemy and greatly lowers DEF","Saiyan Warrior Race, The Saiyan Lineage, Shocking Speed, Prepared for Battle, Super Saiyan, Shattering the Limit, Legendary Power","Super Saiyans, Full Power, Power of Wishes, Joined Forces, Time Travelers, Connected Hope, Entrusted Will",,"Mar 5, 2024",200%,570%
Base,Goku Black (Super Saiyan Ros̩),Mastery of the Power of Rage,"HP 12,320 15,720 | ATK 12,576 15,576 | DEF 10,745 13,345","12,320","15,720","12,576","15,576","10,745","13,345","""Super Bosses"" or ""Corroded Body and Mind"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Realm of Gods"", ""Accelerated Battle"" or ""Exploding Rage"" Category",You Shall Die in Vain!,"Ki +2 and ATK & DEF +200%, Guards all attacks for 1 turn from the character's entry turn, Reduces damage received by 6% per ""Super Bosses"" Category ally on the team (up to 30%), Plus an additional damage reduction of 30% before attacking, Launches an additional attack per Rainbow Ki Sphere obtained, Launches an additional attack that has a high chance of becoming a Super Attack, Launches an additional Super Attack every time the character attacks 5 or more times in battle (up to once within a turn), Launches an additional Super Attack every time the character attacks 10 or more times in battle (up to once within a turn), Plus an additional ATK & DEF +30% within the same turn with each attack performed, ""Super Bosses"" Category allies' Ki +2 within the same turn after receiving an attack, Great chance of nullifying Ki Blast Super Attacks directed at the character",Time Rift of Wrath,"Can be activated when all allies attacking in the same turn are ""Super Bosses"" Category characters starting from the 4th turn from the start of battle, or starting from the 6th turn from the start of battle (once only) Creates the Domain ""City (Future) (Rift in Time)"", raises ""Super Bosses"" Category allies' Ki by 2 and creates the character's clones for 4 turns",Raises ATK & DEF for 1 turn and causes immense damage to enemy,,"Super Saiyan, Big Bad Bosses, Dismal Future, Prepared for Battle, Nightmare, Fear and Faith, Fierce Battle","Future Saga, Power Beyond Super Saiyan, Potara, Realm of Gods, Power of Wishes, Corroded Body and Mind, Super Bosses, Time Travelers, Inhuman Deeds, Exploding Rage, Accelerated Battle, Worldwide Chaos","Can be activated when all allies attacking in the same turn are ""Super Bosses"" Category characters starting from the 4th turn from the start of battle, or starting from the 6th turn from the start of battle (once only)","Feb 21, 2024",150%,505%
Base,Ribrianne & Kakunsa & Rozie,Magnificent Love That Saves the Universe,"HP 19,325 21,925 | ATK 15,150 18,550 | DEF 14,525 17,525","19,325","21,925","15,150","18,550","14,525","17,525","""Special Pose"" or ""Power of Wishes"" Category Ki +4 and HP, ATK & DEF +150%",Mission to Spread Love,"Activates the Entrance Animation (once only), changes STR, AGL & PHY Ki Spheres to TEQ Ki Spheres for 1 turn from the character's entry turn and Ki +3 for 3 turns from the character's entry turn when there are another 2 or more ""Tournament Participants"" Category allies on the team upon the character's entry, Ki +3 and ATK & DEF +122%, Changes STR Ki Spheres to TEQ Ki Spheres, Medium chance of changing AGL Ki Spheres to TEQ Ki Spheres, Medium chance of changing PHY Ki Spheres to TEQ Ki Spheres, Launches an additional attack that has a high chance of becoming a Super Attack if HP is 66% or more when attacking, Launches an additional attack that has a great chance of becoming a Super Attack when there is another ""Universe Survival Saga"" Category ally attacking in the same turn or a ""Universe Survival Saga"" Category enemy, Plus an additional ATK & DEF +122% and reduces damage received by 22% when attacking plus an additional Ki +2 with 2 or more Type Ki Spheres obtained, Chance of performing a critical hit +22% for every 2 Ki Spheres obtained (up to 66%)",Giant Form,"Can be activated when HP is 66% or less with another ""Power of Wishes"" Category ally attacking in the same turn, or starting from the 6th turn from the start of battle (once only) Turns into Giant Form for 2 turns",Raises ATK & DEF for 1 turn and causes colossal damage to enemy,Greatly raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy,"More Than Meets the Eye, Metamorphosis, Battlefield Diva, Signature Pose, Tournament of Power, Fierce Battle, Legendary Power","Universe Survival Saga, Peppy Gals, Giant Form, Transformation Boost, Power of Wishes, Joined Forces, Super Bosses, Tournament Participants, Space-Traveling Warriors, Special Pose",,"Feb 15, 2024",200%,570%
Base,Omega Shenron,The Ultimate Shadow Dragon,"HP 24,000 26,600 | ATK 13,875 16,875 | DEF 13,781 17,181","24,000","26,600","13,875","16,875","13,781","17,181","""GT Bosses"" Category Ki +3 and HP, ATK & DEF +200%",Catastrophe Born of Malignant Energy,"Activates the Entrance Animation upon the character's entry (once only) and changes INT Ki Spheres to Rainbow Ki Spheres for 7 turns from the character's entry turn, All enemies' ATK & DEF -25%, Ki +3 and ATK & DEF +200%, Plus an additional ATK +20% with each attack performed (up to 150%), Ki +1 and reduces damage received by 5% per ""GT Bosses"" Category ally on the team, Plus an additional damage reduction of 7% per Rainbow Ki Sphere obtained, If HP is 50% or less at start of character's attacking turn, revives with 70% HP recovered when the character or an ally attacking in the same turn is KO'd (once only), Attacks effective against all Types and launches an additional Super Attack starting from the turn in which the character's Revival Skill is activated",Minus Energy Power Ball,"Can be activated when the target enemy is in ""ATK Down"" or ""DEF Down"" status starting from the 3rd turn from the start of battle, or starting from the 6th turn from the start of battle (once only) Greatly raises ATK temporarily, causes ultimate damage to enemy and lowers ATK & DEF by 30% for 1 turn; disables enemy's action once within the turn","Raises DEF for 1 turn, causes colossal damage and lowers ATK with a high chance of stunning the enemy","Greatly raises DEF for 1 turn, causes mega-colossal damage to enemy, lowers ATK & DEF and seals Super Attack","Brutal Beatdown, Big Bad Bosses, GT, Fear and Faith, Shadow Dragons, Fierce Battle, Legendary Power","Shadow Dragon Saga, Transformation Boost, Power Absorption, Full Power, Powerful Comeback, GT Bosses, Inhuman Deeds, Battle of Fate",,"Jan 17, 2024",200%,570%
Transformation,Super Trunks,Super Power Counterattack,"HP 11,450 14,050 | ATK 15,998 19,398 | DEF 6,903 9,903","11,450","14,050","15,998","19,398","6,903","9,903","""Mastered Evolution"" or ""Androids/Cell Saga"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Rapid Growth"" or ""Earth-Bred Fighters"" Category",Power-Up Phase 2,"Ki +4 and ATK & DEF +300%, Launches an additional Super Attack and guards all attacks for 3 turns from the character's entry turn, Plus an additional ATK & DEF boost by up to 200% (the more HP remaining, the greater the stat boost), Plus an additional ATK & DEF +100% when performing a Super Attack, Stuns enemies attacked by the character's Super Attack",The Man Who Lived Through Hell,"Can be activated when HP is 60% or more, or when there is an enemy whose name includes ""Cell"" (characters such as Cell Jr. excluded) (once only) Massively raises ATK temporarily, causes ultimate damage to enemy and delays a single targeted enemy's attack for 1 turn; all attacks become critical hits within the turn activated","Raises ATK & DEF for 1 turn, causes immense damage to enemy and all attacks become critical hits for 1 turn",,"Golden Warrior, Messenger from the Future, Super Saiyan, Royal Lineage, Prepared for Battle, Soul vs Soul, Fierce Battle","Androids/Cell Saga, Future Saga, Hybrid Saiyans, Vegeta's Family, Super Saiyans, Power Beyond Super Saiyan, Transformation Boost, Full Power, Rapid Growth, Mastered Evolution, Bond of Master and Disciple, Earth-Bred Fighters, Time Travelers, Saviors, Connected Hope, Entrusted Will, Heavenly Events",,"Jan 3, 2024",150%,505%
Base,Super Saiyan Goku & Super Saiyan Vegeta & Super Saiyan Trunks (Teen),All-Out Ultimate Battle,"HP 21,238 24,238 | ATK 14,555 17,555 | DEF 14,313 17,313","21,238","24,238","14,555","17,555","14,313","17,313","""Super Saiyans"" Category Ki +3 and HP, ATK & DEF +200%",Three Super Saiyans,"Activates the Entrance Animation (once only) and attacks effective against all Types and reduces damage received by 30% for 5 turns from the character's entry turn when there are another 2 or more ""Super Saiyans"" or ""Movie Heroes"" Category allies on the team upon the character's entry, Ki +3 and ATK & DEF +180%, Plus an additional ATK & DEF +130% when attacking, Plus an additional Ki +3 per INT Ki Sphere obtained, Randomly changes Ki Spheres of a certain Type (INT excluded) to INT Ki Spheres when there is another ""Super Saiyans"" or ""Movie Heroes"" Category ally attacking in the same turn, Launches an additional attack that has a high chance of becoming a Super Attack for every 3 Ki Spheres obtained (up to 3 additional attacks within the turn)",Spirit Bomb Super Saiyan,"Can be activated when all allies attacking in the same turn are ""Super Saiyans"" Category characters starting from the 3rd turn from the start of battle, or starting from the 6th turn from the start of battle (once only) Massively raises ATK temporarily, causes ultimate damage to enemy and, within the turn activated, all attacks become critical hits",Greatly raises ATK for 3 turns and causes colossal damage to enemy,Greatly raises ATK & DEF for 3 turns and causes mega-colossal damage to enemy,"Super Saiyan, Golden Warrior, Saiyan Warrior Race, Experienced Fighters, Prepared for Battle, Fierce Battle, Legendary Power","Super Saiyans, Transformation Boost, Kamehameha, Power of Wishes, Final Trump Card, Joined Forces, Movie Heroes, Connected Hope",,"Dec 13, 2023",200%,570%
Base,Androids #17 & #18/Android #16,The Androids' Journey,"HP 23,363 26,763 | ATK 17,190 20,190 | DEF 9,956 12,556","23,363","26,763","17,190","20,190","9,956","12,556","""Androids"" Category Ki +4 and HP, ATK & DEF +170%; or Extreme PHY Type Ki +4 and HP, ATK & DEF +100%",The Androids' True Might,"Ki +3 and ATK & DEF +178%, Plus an additional ATK & DEF +78% when performing a Super Attack, Medium chance of evading enemy's attack (including Super Attack), Plus an additional Ki +3 and chance of evading enemy's attack (including Super Attack) +20% when HP is 66% or more at start of turn, Plus an additional DEF +35% within the same turn and launches an additional attack that has a high chance of becoming a Super Attack for 3 turns after evading an attack (including Super Attack), ""Androids"" Category allies' Ki +2 and ATK & DEF +50%",Exchange,"Can be activated when HP is 66% or less with another 2 or more ""Androids"" Category allies on the team, or can be activated at any time when facing an enemy whose name includes ""Cell"" (characters such as Cell Jr. excluded) (once only) Exchange with Android #16 for 3 turns","Raises ATK & DEF for 1 turn, causes colossal damage to enemy and lowers ATK & DEF","Raises ATK & DEF for 1 turn, causes mega-colossal damage to enemy and greatly lowers ATK & DEF","Infinite Energy, Android Assault, Solid Support, Shocking Speed, Soul vs Soul, Fierce Battle, Legendary Power","Androids/Cell Saga, Androids, Uncontrollable Power, Joined Forces, Siblings' Bond, Target: Goku","Can be activated when HP is 66% or less with another 2 or more ""Androids"" Category allies on the team, or can be activated at any time when facing an enemy whose name includes ""Cell"" (characters such as Cell Jr. excluded) (once only)","Dec 5, 2023",200%,450%
Transformation,"Android #21 (Transformed, Good)",Genius Scientist's Courage and Resolve,"HP 16,670 19,270 | ATK 11,822 14,822 | DEF 9,513 12,913","16,670","19,270","11,822","14,822","9,513","12,913","""Androids"", ""Majin Power"" or ""Peppy Gals"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Power Absorption"", ""Transformation Boost"" or ""Crossover"" Category",#21's Determination,"Recovers 30% HP (once only), ATK & DEF +210%, All allies' Ki +2, Plus an additional Ki +2 and ATK & DEF +121% when attacking, Reduces damage received by 21%, Plus an additional DEF +60% within the same turn after receiving an attack, Launches 2 additional attacks, each of which has a great chance of becoming a Super Attack, Recovers 21% HP when HP is 60% or less at the end of turn",Absolute Release Ball,"Can be activated when facing only 1 enemy starting from next attacking turn (once only) Massively raises ATK temporarily, causes ultimate damage to enemy, disables enemy's action once within the turn and, within the turn activated, attacks effective against all Types","Raises ATK & DEF for 1 turn, causes immense damage to enemy and recovers 5% HP",,"Brainiacs, Metamorphosis, Android Assault, Big Bad Bosses, Shocking Speed, Battlefield Diva, Fierce Battle","Androids, Peppy Gals, Transformation Boost, Power Absorption, Majin Power, Demonic Power, Battle of Wits, Crossover",,"Nov 30, 2023",150%,505%
Base,Super Full Power Saiyan 4 Limit Breaker Vegito (Xeno),Fused Fighter Who Surpasses All,"HP 10,962 13,562 | ATK 10,427 13,427 | DEF 7,758 11,158","10,962","13,562","10,427","13,427","7,758","11,158","""Dragon Ball Heroes"", ""Giant Ape Power"" or ""Fused Fighters"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Crossover"" Category",Sword That Cuts Through Darkness,"Activates the Entrance Animation upon the character's entry (once only) and chance of performing a critical hit +30% and reduces damage received by 30% for 6 turns from the character's entry turn, Ki +3 and ATK & DEF +200%, Plus an additional ATK & DEF +150% when performing a Super Attack, Plus an additional ATK & DEF +100% and great chance of launching an additional Super Attack when there is another ""Giant Ape Power"" or ""Crossover"" Category ally attacking in the same turn or a ""Giant Ape Power"" or ""Crossover"" Category enemy, Chance of performing a critical hit +40% and reduces damage received by 30% when all allies attacking in the same turn are ""Giant Ape Power"" or ""Crossover"" Category characters",Galactic Eternal Sword,"Can be activated when all allies attacking in the same turn are ""Crossover"" Category characters starting from the 3rd turn from the start of battle, or starting from the 6th turn from the start of battle (once only) Greatly raises ATK temporarily, causes ultimate damage to enemy and, within the turn activated, all attacks become critical hits",Raises ATK for 1 turn and causes immense damage to enemy,,"Super Saiyan, Shocking Speed, Prepared for Battle, Power Bestowed by God, Fused Fighter, Saiyan Roar, Fierce Battle","Power Beyond Super Saiyan, Potara, Fused Fighters, Full Power, Giant Ape Power, Time Limit, Final Trump Card, Time Travelers, Defenders of Justice, Battle of Wits, Accelerated Battle, Crossover, Dragon Ball Heroes",,"Nov 22, 2023",160%,505%
Base,Beerus,Hot-Blooded God of Destruction,"HP 17,353 20,753 | ATK 18,083 21,083 | DEF 10,496 13,096","17,353","20,753","18,083","21,083","10,496","13,096","""Exploding Rage"" or ""Realm of Gods"" Category Ki +3 and HP, ATK & DEF +170%",God-on-God Showdown,"ATK +50% and DEF +200%, Plus an additional ATK +150% when performing a Super Attack, Reduces damage received by 40% with 3 or more Ki Spheres obtained, Plus an additional damage reduction of 30% before attacking with 7 or more Ki Spheres obtained, Plus an additional ATK & DEF +150% within the same turn after receiving an attack, Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres and attacks effective against all Types when there is a ""Realm of Gods"" Category enemy",Wrath,"Can be activated when HP is 70% or less starting from the 4th turn from the start of battle (once only) ATK & DEF +50%, attacks effective against all Types and guaranteed to hit for 1 turn","Raises ATK, causes immense damage to enemy and greatly lowers ATK & DEF",,"Godly Power, Prodigies, Connoisseur, The Innocents, Shocking Speed, Berserker, Fierce Battle","Realm of Gods, Worthy Rivals, Siblings' Bond, Bond of Master and Disciple, Movie Bosses, Space-Traveling Warriors, Legendary Existence, Planetary Destruction, Exploding Rage, Battle of Fate",,"Nov 10, 2023",150%,475%
Base,Goku,Light That Defends the Green Planet,"HP 25,063 28,063 | ATK 16,000 19,000 | DEF 10,594 13,594","25,063","28,063","16,000","19,000","10,594","13,594","""Movie Heroes"" or ""Final Trump Card"" Category Ki +4 and HP, ATK & DEF +150%",Earth-Protecting Light,"Ki +5 and ATK & DEF +150%, Plus an additional ATK & DEF +100% when performing a Super Attack if facing only 1 enemy, Plus an additional ATK & DEF +30% (up to 150%) when performing an Ultra Super Attack per existing enemy (count starts from the 2nd enemy) and an additional Ki +5 if facing 2 or more enemies, Plus an additional Ki +5 and ATK +59% for the rest of battle after delivering a final blow, Plus an additional ATK & DEF +100% when Ki is 21 or more",Super Spirit Bomb,"Can be activated when HP is 59% or less starting from the 3rd turn from the start of battle, or when facing only 1 enemy starting from the 5th turn from the start of battle (once only) Massively raises ATK temporarily and causes ultimate damage to enemy",Greatly raises ATK for 1 turn and causes colossal damage to enemy,Greatly raises ATK & DEF for 1 turn and causes mega-colossal damage to all enemies,"Saiyan Warrior Race, All in the Family, The Saiyan Lineage, Z Fighters, Prepared for Battle, Fierce Battle, Legendary Power","Pure Saiyans, Goku's Family, Power of Wishes, Final Trump Card, Bond of Parent and Child, Bond of Friendship, Movie Heroes, Turtle School, Earth-Bred Fighters",,"Oct 20, 2023",200%,570%
Base,Turles,Demonic Fighter Wielding Forbidden Power,"HP 17,685 21,085 | ATK 10,256 13,256 | DEF 10,963 13,563","17,685","21,085","10,256","13,256","10,963","13,563","""Space-Traveling Warriors"" or ""Pure Saiyans"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Planetary Destruction"" or ""Low-Class Warrior"" Category",Crusher's Ploy,"If there is a ""Goku's Family"" Category enemy or an enemy whose name includes ""Gohan (Kid)"" at start of character's attacking turn, activates the Entrance Animation (once only) and Extreme Class allies' Ki +3 and ATK +18% for the rest of battle, ATK & DEF +160%, Plus an additional ATK +60% and launches an additional attack that has a high chance of becoming a Super Attack when HP is 50% or more, Plus an additional ATK +100% when performing a Super Attack, Ki +2 (up to +8), reduces damage received by 5% (up to 20%) plus an additional DEF +40% (up to 160%) with each Super Attack performed, Attacks effective against all Types and launches an additional attack that has a high chance of becoming a Super Attack starting from the turn in which the character performs the 6th attack in battle",Live Like a Saiyan!,"Can be activated when there is a ""Goku's Family"" Category enemy or an enemy whose name includes ""Gohan (Kid)"" starting from the 3rd turn from the start of battle, or starting from the 6th turn from the start of battle (once only) Greatly raises ATK temporarily and causes ultimate damage to enemy","Raises ATK, causes immense damage to enemy and recovers 6% HP",,"Saiyan Warrior Race, Big Bad Bosses, Thirst for Conquest, Brutal Beatdown, Prepared for Battle, Destroyer of the Universe, Fierce Battle","Pure Saiyans, Final Trump Card, Movie Bosses, Low-Class Warrior, Space-Traveling Warriors, Terrifying Conquerors, Planetary Destruction",,"Oct 5, 2023",150%,475%
Base,Dr. Wheelo,Sinister Genius Scientist,"HP 14,840 17,440 | ATK 16,564 19,564 | DEF 12,375 15,775","14,840","17,440","16,564","19,564","12,375","15,775","""Revenge"" Category Ki +4 and HP, ATK & DEF +130%",Revenge Through the Power of Science,"Activates the Entrance Animation (once only) and Ki +4 and DEF +80000 for 4 turns from the character's entry turn when there is another ""Revenge"" Category ally on the team upon the character's entry, Ki +3 and ATK & DEF +100000, Plus an additional Ki +3 and ATK & DEF +60000 when facing only 1 enemy at start of turn and if that enemy's HP is 60% or more, plus an additional ATK +60000 and medium chance of performing a critical hit, Plus an additional Ki +2, ATK +40000 and DEF +100000 and medium chance of guarding all attacks when facing 2 or more enemies at start of turn, Plus an additional ATK +60000 and performs a critical hit when HP is 40% or less (once only)",Planet Geyser,"Can be activated when HP is 40% or less, or when facing only 1 enemy, whose HP is 60% or more, starting from the 5th turn from the start of battle (once only) Massively raises ATK temporarily and causes ultimate damage to enemy","Raises DEF for 1 turn, causes colossal damage to enemy and lowers ATK","Raises ATK & DEF for 1 turn, causes mega-colossal damage to enemy and seals Super Attack","Prodigies, Mechanical Menaces, Revival, Thirst for Conquest, Scientist, Shattering the Limit, Legendary Power","Power of Wishes, Movie Bosses, Resurrected Warriors, Revenge, Terrifying Conquerors, Battle of Wits",,"Oct 5, 2023",200%,570%
Base,Trunks (Teen) (Future),The Result of Time Traveling,"HP 12,510 14,310 | ATK 10,492 12,292 | DEF 7,744 9,544","12,510","14,310","10,492","12,292","7,744","9,544","""Future Saga"" Category Ki +3 and HP, ATK & DEF +77%; or INT Type Ki +3 and HP, ATK & DEF +50%",Unwavering Resolve,"Ki +2 and ATK & DEF +100%, Plus an additional ATK & DEF +25% (up to 100%) and chance of performing a critical hit +5% (up to 20%) with each attack performed, High chance of performing a critical hit when there is a ""Future Saga"" or ""Time Travelers"" Category enemy, Plus an additional ATK & DEF +50% when performing a Super Attack per ""Future Saga"" Category ally (self excluded) attacking in the same turn",I'm Taking This Fight Somewhere Else,"Can be activated when there is a ""Time Travelers"" Category enemy, or starting from the 5th turn from the character's entry turn (once only) Creates the Domain ""Wasteland (Future)"" for 4 turns",Greatly raises ATK and raises DEF for 1 turn and causes supreme damage to enemy,,"Messenger from the Future, Cold Judgment, Royal Lineage, Dismal Future, Z Fighters, Soul vs Soul, Shattering the Limit","Androids/Cell Saga, Future Saga, Hybrid Saiyans, Vegeta's Family, Bond of Parent and Child, Bond of Master and Disciple, Earth-Bred Fighters, Time Travelers, Revenge, Entrusted Will, Battle of Wits",,"Sep 22, 2023",140%,530%
