State,Name,Subname,Stats Cat 55% 100%,Leader Skill,Passive Skill,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition,Release Date
Base,Caulifla,Aptitude Manifested,"HP 8,768 10,568 | ATK 9,856 11,656 | DEF 5,981 7,781","Super INT Type Ki +3 and HP, ATK & DEF +90%","Strength Derived from Exaltation ATK & DEF +100% ATK & DEF +20% and chance of performing a critical hit +6% per ""Universe 6"" Category ally on the team Plus an additional ATK +160%, great chance of evading enemy's attack (including Super Attack) and launches an additional Super Attack when there is an ally whose name includes ""Kale"" attacking in the same turn Plus an additional ATK & DEF +20% (up to 60%) with each attack evaded (including Super Attack) Launches an additional attack that has a high chance of becoming a Super Attack starting from the turn in which the character performs the 6th attack in battle",,"Raises ATK & DEF, causes supreme damage to enemy and lowers ATK",,"The Saiyan Lineage, Saiyan Warrior Race, Battlefield Diva, Prodigies, Warriors of Universe 6, Tournament of Power, Shattering the Limit","Universe Survival Saga, Pure Saiyans, Peppy Gals, Rapid Growth, Bond of Friendship, Universe 6, Super Bosses, Tournament Participants, Gifted Warriors",[],
Base,Chi-Chi,Determined Love,"HP 12,195 14,235 | ATK 11,726 13,526 | DEF 8,469 10,029","(Extreme) PHY Type Ki +3 and HP, ATK & DEF +100%","(Extreme) Martial Arts of a Name Withheld ATK & DEF +150% Attacked enemy's ATK & DEF -22% for 3 turns Medium chance of evading enemy's attack (including Super Attack) Ki +3 plus an additional ATK & DEF +150% when HP is 50% or more Plus an additional ATK +50% and chance of evading enemy's attack (including Super Attack) +40% when HP is 49% or less Attacks effective against all Types and high chance of launching an additional Super Attack when the name of an ally who is attacking in the same turn or an enemy includes ""Goku"" (Captain Ginyu, Jr., etc. excluded) Launches 2 additional attacks Plus an additional DEF +150% when attacking Launches an additional Super Attack every time the character attacks 5 or more times in battle (up to once within a turn)",,Raises ATK for 1 turn and causes supreme damage with a high chance of stunning the enemy,,"The Innocents, Battlefield Diva, Infighter, The Incredible Adventure, Guidance of the Dragon Balls, Courage, Shattering the Limit","Earthlings, Goku's Family, Peppy Gals, Bond of Parent and Child, World Tournament, Tournament Participants, Earth-Bred Fighters",[],
Base,Gohan (Youth),Ready for a New Battle,"HP 11,832 13,632 | ATK 12,838 14,638 | DEF 7,289 9,089","(Extreme) INT Type Ki +3 and HP, ATK & DEF +100%","(Extreme) Self-Realization Ki +3 and ATK & DEF +100% Plus an additional ATK & DEF +100% when performing a Super Attack Plus an additional ATK +100% for 3 turns after receiving an attack ""Androids/Cell Saga"" Category allies' Ki +2 and ATK & DEF +30%, plus an additional ATK & DEF +3% per Super Class ally on the team Chance of performing a critical hit +58% when facing 2 or fewer enemies Seals the attacked enemy's Super Attack for 2 turns when facing 3 or more enemies Guards all attacks when there is another ""Bond of Master and Disciple"" Category ally attacking in the same turn",,Causes supreme damage to enemy and raises ATK & DEF by 50% for 6 turns,,"Saiyan Warrior Race, All in the Family, The Saiyan Lineage, Z Fighters, Gaze of Respect, Shocking Speed, Shattering the Limit","Androids/Cell Saga, Hybrid Saiyans, Goku's Family, Youth, Demonic Power, Rapid Growth, Bond of Parent and Child, Bond of Master and Disciple, Earth-Bred Fighters, Heavenly Events",[],
Base,Vegito,Unstoppable Power,"HP 12,195 13,755 | ATK 11,677 13,477 | DEF 8,469 10,509","(Extreme) AGL Type Ki +3 and HP, ATK & DEF +100%","(Extreme) Whole Other Level ATK & DEF +150% Ki +2 plus an additional ATK & DEF +150% and great chance of evading enemy's attack (including Super Attack) as the 1st attacker in a turn Launches an additional Super Attack when there is a ""Majin Buu Saga"" Category enemy Super Class allies' ATK & DEF +30%, plus an additional ATK & DEF +3% per ""Majin Buu Saga"" Category ally on the team Plus an additional ATK +50% when attacking Plus an additional DEF +20% with each attack performed (up to 100%) Launches an additional attack that has a high chance of becoming a Super Attack",,"Raises ATK for 1 turn, causes supreme damage to enemy and raises allies' ATK by 30% for 1 turn",,"Saiyan Warrior Race, The Saiyan Lineage, Prepared for Battle, Power Bestowed by God, Fused Fighter, Brainiacs, Shattering the Limit","Majin Buu Saga, Potara, Fused Fighters, Final Trump Card, Battle of Wits",[],
Base,Tien,Secret Technique for Victory,"HP 10,842 12,642 | ATK 12,201 14,001 | DEF 6,867 8,667","(Extreme) INT Type Ki +3 and HP, ATK & DEF +100%","(Extreme) Power Times Two Launches 2 additional attacks, each of which has a great chance of becoming a Super Attack Launches an additional Super Attack every time the character attacks 4 or more times in battle Attacked enemy's ATK -20% for 2 turns and launches an additional Super Attack when there is a ""Turtle School"" Category enemy ATK & DEF +40% per ""DB Saga"" Category ally on the team",,Causes supreme damage to enemy and raises ATK & DEF by 50% for 9 turns,,"Crane School, Telepathy, Infighter, The Incredible Adventure, Guidance of the Dragon Balls, Cold Judgment, Shattering the Limit","DB Saga, Earthlings, Bond of Friendship, Bond of Master and Disciple, World Tournament, Tournament Participants, Earth-Bred Fighters",[],
Base,Bardock & Gine,Parents' Guidance,"HP 12,887 15,887 | ATK 14,479 17,879 | DEF 8,739 11,339","(Extreme) ""Movie Heroes"" Category Ki +3 and HP, ATK & DEF +130%; or STR Type Ki +3 and HP, ATK & DEF +90%","(Extreme) Parents' Love ATK & DEF +122% Recovers 22% HP when HP is 50% or less at start of turn (once only) and Ki +4 plus an additional ATK & DEF +122% if there is an ally whose name includes ""Goku"" (Captain Ginyu, Jr., etc. excluded) on the team Plus an additional ATK & DEF +122% when attacking if there is another ""Bond of Parent and Child"" Category ally attacking in the same turn Plus an additional ATK +122% when there is a ""Movie Bosses"" Category enemy Plus an additional Ki +4, ATK +122% and performs a critical hit when there is an enemy whose name includes ""Frieza"" (Frieza Soldier excluded)",Active Skill Gine's Encouragement Condition: Can be activated when HP is 80% or less starting from the 4th turn from the start of battle (once only) Removes all allies' status effects and raises all allies' ATK by 22% for 2 turns Animation: Play,"Massively raises ATK & DEF for 1 turn, causes supreme damage to enemy and raises allies' ATK & DEF by 22% for 2 turns (self excluded)",,"Saiyan Warrior Race, The Saiyan Lineage, Saiyan Pride, Cold Judgment, Prepared for Battle, Experienced Fighters, Fierce Battle","Pure Saiyans, Goku's Family, Joined Forces, Bond of Parent and Child, Super Heroes, Movie Heroes",[],
Base,Broly & Cheelai & Lemo,A New Life on Vampa,"HP 23,575 26,975 | ATK 17,275 20,275 | DEF 9,744 12,344","(Extreme) ""Movie Bosses"" Category Ki +4 and HP, ATK & DEF +150%; or Extreme PHY Type Ki +4 and HP, ATK & DEF +100%","(Extreme) Fight for Friends ATK & DEF +30% per Ki Sphere obtained Plus an additional ATK & DEF +10% per PHY Ki Sphere obtained Plus an additional Ki +2 per Ki Sphere obtained All allies' Ki +2 and ATK +39% with an AGL or STR Ki Sphere obtained All allies' Ki +2 and DEF +39% with a TEQ or INT Ki Sphere obtained All allies' Ki +2 and ATK & DEF +15% with a Rainbow Ki Sphere obtained Plus an additional ATK +39% when performing a Super Attack Launches an additional Super Attack and ""Movie Bosses"" or ""Super Bosses"" Category allies' damage reduction rate +10% when Ki is 24 High chance of evading enemy's attack (including Super Attack) Evades enemy's attack (including Super Attack) with 7 or more Ki Spheres obtained Randomly changes Ki Spheres of a certain Type (PHY excluded) to PHY Ki Spheres when HP is 60% or less Changes all Ki Spheres to PHY Ki Spheres when HP is 39% or less (once only)",,"Greatly raises ATK & DEF for 1 turn, causes colossal damage to enemy and greatly lowers ATK",Massively raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy,"Brainiacs, Solid Support, Cold Judgment, Big Bad Bosses, Shocking Speed, Fierce Battle, Legendary Power","Power of Wishes, Joined Forces, Bond of Friendship, Super Bosses, Movie Bosses",[],
Base,Paragus & Broly,Troublesome Father and Son,"HP 13,906 16,906 | ATK 13,272 16,272 | DEF 7,730 10,730","(Extreme) Extreme INT Type Ki +3 and HP, ATK & DEF +130%","(Extreme) Clash between Saiyans ATK & DEF +150% and high chance of launching an additional Super Attack when performing a Super Attack Reduces damage received by 26% within the same turn with each Super Attack performed ""Pure Saiyans"" or ""Joined Forces"" Category allies' Ki +3 and ATK & DEF +50% Ki +3, plus an additional ATK +180% and high chance of launching an additional Super Attack when there is a ""Pure Saiyans"" or ""Super Heroes"" Category enemy",,"Raises DEF, causes supreme damage to enemy and lowers ATK",,"Saiyan Warrior Race, The Saiyan Lineage, Hardened Grudge, Cold Judgment, Brutal Beatdown, Prepared for Battle, Fierce Battle","Pure Saiyans, Joined Forces",[],
Base,Gogeta,Invitation to the Ultimate Battle,"HP 10,613 12,653 | ATK 11,954 13,754 | DEF 7,889 9,449",(Extreme) ATK & DEF +19% per Ki Sphere obtained and recovers 999 HP per Ki Sphere of character's Type obtained,"(Extreme) Ultimate Savior ATK & DEF +99% Plus an additional ATK & DEF +19% per Ki Sphere obtained Plus an additional ATK & DEF +9% when attacking per Ki Sphere obtained if there is another ""Super Heroes"" or ""Movie Heroes"" Category ally attacking in the same turn Attacks effective against all Types with 5 or more Ki Spheres obtained Performs a critical hit with 9 or more Ki Spheres obtained",,Greatly raises ATK & DEF for 1 turn and causes supreme damage to enemy; raises chance of evading enemy's attack (including Super Attack) by 19% for 1 turn,,"Saiyan Warrior Race, Fused Fighter, Over in a Flash, Kamehameha, The Saiyan Lineage, Shocking Speed, Shattering the Limit","Fusion, Fused Fighters, Kamehameha, Powerful Comeback, Time Limit, Final Trump Card, Super Heroes, Movie Heroes",[],
Base,Golden Frieza,Despotic Punishment,"HP 9,936 12,936 | ATK 10,509 13,509 | DEF 8,168 11,168","""Super Bosses"" or ""Gifted Warriors"" Category Ki +3 and HP, ATK & DEF +130%","Might of the Supreme ATK +160% and DEF +130% Performs a critical hit within the same turn plus an additional ATK +160% and DEF +130% for 3 turns after receiving or evading an attack (including Super Attack) Reduces damage received by 60% for 1 turn from the character's entry turn, reduces damage received by 50% with 3 or more Ki Spheres obtained on the character's next attacking turn and reduces damage received by 40% with 3 or more Ki Spheres obtained starting from the 5th turn from the character's entry turn Plus an additional damage reduction of 20% when there is another ""Super Bosses"" Category ally attacking in the same turn ""Super Bosses"" Category allies' Ki +2, ATK +60% and DEF +30%",,Greatly raises ATK & DEF for 1 turn and causes supreme damage with a high chance of stunning the enemy,,"Brutal Beatdown, Prodigies, Universe’s Most Malevolent, Shocking Speed, Strongest Clan in Space, Thirst for Conquest, Fierce Battle","Wicked Bloodline, Transformation Boost, Full Power, Mastered Evolution, Sworn Enemies, Super Bosses, Movie Bosses, Gifted Warriors, Dragon Ball Seekers, Revenge, Target: Goku, Terrifying Conquerors, Inhuman Deeds",[],
Base,Super Saiyan Broly,Surge of Heightened Fighting Spirit,"HP 15,925 18,525 | ATK 18,465 21,465 | DEF 12,081 15,481","""Super Bosses"", ""Transformation Boost"" or ""Full Power"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Exploding Rage"" or ""Movie Bosses"" Category","Escalating Power Level Activates the Entrance Animation upon the character's entry (once only) and Ki +5, ATK & DEF +100% and launches an additional Super Attack for 4 turns from the character's entry turn ATK & DEF +150% Guards all attacks Plus an additional Ki +1 per Ki Sphere obtained Plus an additional ATK +50% when performing a Super Attack, plus an additional DEF +50% if it is an Ultra Super Attack Ki +2 and launches an additional Super Attack as the 1st or 2nd attacker in a turn Ki +6, launches an additional Super Attack and high chance of launching another additional Super Attack as the 3rd attacker in a turn Animations: Entry","Active Skill Transformation Condition: Can be activated starting from the 5th turn from the character's entry turn (once only) Transforms; creates the Domain ""Extradimensional Space"" and raises Extreme Class allies' Ki by 4 for 4 turns Animation: Play","Raises ATK, raises DEF for 1 turn and causes colossal damage to enemy","Greatly raises ATK, greatly raises DEF for 4 turns and causes mega-colossal damage to enemy","Prodigies, Super Saiyan, Berserker, Shocking Speed, Prepared for Battle, Fierce Battle, Legendary Power","Pure Saiyans, Super Saiyans, Power Beyond Super Saiyan, Transformation Boost, Full Power, Uncontrollable Power, Miraculous Awakening, Super Bosses, Movie Bosses, Gifted Warriors, Exploding Rage",Can be activated starting from the 5th turn from the character's entry turn (once only),
Transformation,Super Saiyan Broly (Full Power),Surge of Heightened Fighting Spirit,"HP 15,925 18,525 | ATK 18,465 21,465 | DEF 12,081 15,481","""Super Bosses"", ""Transformation Boost"" or ""Full Power"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Exploding Rage"" or ""Movie Bosses"" Category","Escalating Battle Instincts Ki +6 and ATK & DEF +300% Guards all attacks Plus an additional Ki +1 per Ki Sphere obtained Reduces damage received by 26% before attacking while the Domain ""Extradimensional Space"" is active Plus an additional ATK +50% when attacking Plus an additional DEF +50% when receiving an attack Launches an additional Super Attack Chance of performing a critical hit +26% when performing a Super Attack Launches another additional Super Attack and chance of performing a critical hit +26% when performing an Ultra Super Attack Launches another additional Super Attack when Ki is 24",,Raises ATK & DEF for 1 turn and causes colossal damage to all enemies,Greatly raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy,"Prodigies, Super Saiyan, Berserker, Shocking Speed, Prepared for Battle, Fierce Battle, Legendary Power","Pure Saiyans, Super Saiyans, Power Beyond Super Saiyan, Transformation Boost, Full Power, Uncontrollable Power, Miraculous Awakening, Super Bosses, Movie Bosses, Gifted Warriors, Exploding Rage",,
Base,Super Saiyan Gogeta,Scattered Reflection of Overflowing Fighting Spirit,"HP 19,113 22,513 | ATK 16,340 19,340 | DEF 13,144 15,744","""Movie Heroes"" Category Ki +3 and HP, ATK & DEF +200%",Gogeta's Light Ki +2 and ATK & DEF +154% Attacks effective against all Types Plus an additional ATK & DEF +100% when performing a Super Attack Guards all attacks for 3 turns from the character's entry turn Plus an additional Ki +1 per Type Ki Sphere obtained Plus an additional Ki +2 per Rainbow Ki Sphere obtained Randomly changes Ki Spheres of a certain Type (PHY excluded) to Rainbow Ki Spheres Launches an additional attack that has a great chance of becoming a Super Attack Launches an additional Super Attack with 1 or more Rainbow Ki Spheres obtained,Active Skill Transformation Condition: Can be activated starting from the 4th turn from the character's entry turn (once only) Transforms Animation: Play,Greatly raises ATK & DEF for 1 turn and causes colossal damage to enemy,"Raises DEF, greatly raises ATK for 1 turn and causes mega-colossal damage to enemy","Golden Warrior, Super Saiyan, Prepared for Battle, Over in a Flash, Fused Fighter, Fierce Battle, Legendary Power","Super Saiyans, Power Beyond Super Saiyan, Fusion, Fused Fighters, Transformation Boost, Realm of Gods, Powerful Comeback, Time Limit, Final Trump Card, Super Heroes, Movie Heroes",Can be activated starting from the 4th turn from the character's entry turn (once only),
Transformation,Super Saiyan God SS Gogeta,Scattered Reflection of Overflowing Fighting Spirit,"HP 19,113 22,513 | ATK 16,340 19,340 | DEF 13,144 15,744","""Movie Heroes"" Category Ki +3 and HP, ATK & DEF +200%",Gogeta's Blue Light Recovers 54% HP at start of character's attacking turn for 4 turns from the character's entry turn Ki +3 and ATK & DEF +200% Attacks effective against all Types Plus an additional ATK & DEF +100% when performing a Super Attack Plus an additional Ki +2 per Ki Sphere obtained Randomly changes Ki Spheres of a certain Type (PHY excluded) to Rainbow Ki Spheres Launches an additional Super Attack Launches another additional Super Attack with 1 or more Rainbow Ki Spheres obtained Great chance of evading enemy's attack (including Super Attack) Chance of performing a critical hit +20% with each attack evaded (including Super Attack) Great chance of nullifying Ki Blast Super Attacks directed at the character and countering with tremendous power Animations: Counter,Active Skill How Long Do You Think You Can Keep Up with Me? Condition: Can be activated starting from next attacking turn (once only) Massively raises ATK temporarily and causes ultimate damage to enemy; directs enemy's attack towards the character and evades enemy's attack (including Super Attack) for 1 turn Animation: Ultimate Special,Greatly raises ATK & DEF for 1 turn and causes colossal damage to enemy,Massively raises ATK for 4 turns and causes mega-colossal damage to enemy,"Warrior Gods, Super Saiyan, Prepared for Battle, Over in a Flash, Fused Fighter, Fierce Battle, Legendary Power","Super Saiyans, Power Beyond Super Saiyan, Fusion, Fused Fighters, Transformation Boost, Realm of Gods, Powerful Comeback, Time Limit, Final Trump Card, Super Heroes, Movie Heroes",,
Base,Goku (Ultra Instinct -Sign-),Sign of a Turnaround,"HP 17,838 20,838 | ATK 19,400 22,800 | DEF 9,956 12,556","(Extreme) ""Realm of Gods"" Category Ki +4 and HP, ATK & DEF +150%; or Super STR Type Ki +4 and HP, ATK & DEF +100%","(Extreme) Turn in Tides of Battle ATK & DEF +177% Ki +4 and great chance of evading enemy's attack (including Super Attack) for 7 turns from the character's entry turn and high chance of evading enemy's attack (including Super Attack) starting from the 8th turn from the character's entry turn Plus an additional chance of evading enemy's attack (including Super Attack) +7% within the same turn before the character receives an attack per ""Representatives of Universe 7"" Category ally (self excluded) attacking in the same turn Plus an additional DEF +77% starting from the turn in which the character evades an attack (including Super Attack) Plus an additional ATK +77% starting from the turn in which the character evades an attack (including Super Attack) as the 1st attacker in a turn Plus an additional Ki +1 (up to +7) and ATK, DEF & chance of performing a critical hit +11% (up to 77%) with each attack evaded (including Super Attack)",,"Raises ATK & DEF for 1 turn, disables enemy's guard, causes colossal damage to enemy and greatly lowers DEF","Greatly raises ATK & DEF for 1 turn, disables enemy's guard and causes mega-colossal damage to enemy; raises allies' ATK by 50% for 1 turn","Kamehameha, Prepared for Battle, Godly Power, Over in a Flash, Tournament of Power, Fierce Battle, Legendary Power","Universe Survival Saga, Pure Saiyans, Goku's Family, Kamehameha, Realm of Gods, Powerful Comeback, Miraculous Awakening, Bond of Parent and Child, Bond of Friendship, Representatives of Universe 7, Super Heroes, Turtle School, Tournament Participants, Earth-Bred Fighters, Legendary Existence, Accelerated Battle",[],
Base,Shen,Possessed by Kami,"HP 8,665 10,225 | ATK 9,222 11,262 | DEF 5,565 7,365","TEQ Type Ki +3 and HP, ATK & DEF +70%",One with Kami ATK & DEF +150% and seals the attacked enemy's Super Attack High chance of evading enemy's attack (including Super Attack) Plus an additional chance of evading enemy's attack (including Super Attack) +10% (up to 20%) within the same turn with each attack evaded (including Super Attack) Plus an additional chance of evading enemy's attack (including Super Attack) +20% and ATK & DEF +150% as the 1st attacker in a turn Plus an additional ATK & DEF +150% when attacking as the 2nd or 3rd attacker in a turn Launches an additional attack that has a great chance of becoming a Super Attack within the same turn plus an additional ATK +100% for 3 turns after evading an attack (including Super Attack),,Greatly raises ATK & DEF for 1 turn and causes supreme damage with a high chance of stunning the enemy,,"Infighter, Gentleman, More Than Meets the Eye, Strength in Unity, Cold Judgment, Guidance of the Dragon Balls, Shattering the Limit","Realm of Gods, Demonic Power, World Tournament, Tournament Participants, Earth-Bred Fighters",[],
Base,Super Saiyan Gohan (Teen),Rumored Warrior of Justice,"HP 13,945 15,745 | ATK 11,576 13,616 | DEF 7,781 9,341","(Extreme) Super Class Ki +3 and HP, ATK & DEF +77%",(Extreme) Secretly Punishing Villains ATK & DEF +158% Plus an additional ATK & DEF +58% when performing a Super Attack Reduces damage received by 58% Super Class Ki +3 and ATK & DEF +30% Plus an additional ATK & DEF +58% when there is an Extreme Class enemy Attacked enemy's ATK -20% for 2 turns when there is an Extreme Class enemy,,Greatly raises ATK and raises DEF for 1 turn and causes supreme damage with a medium chance of stunning the enemy,,"Golden Warrior, Super Saiyan, The Saiyan Lineage, Saiyan Warrior Race, Z Fighters, Hero of Justice, Shattering the Limit","Majin Buu Saga, Hybrid Saiyans, Goku's Family, Super Saiyans, Demonic Power, Bond of Parent and Child, Siblings' Bond, Earth-Bred Fighters, Defenders of Justice",[],
Base,Mr. Buu,Joyful Athleticism,"HP 14,944 16,504 | ATK 11,127 13,167 | DEF 7,844 9,644","(Extreme) All Types Ki +3 and HP, ATK & DEF +70%","(Extreme) Plethora of Changes ATK & DEF +120% Plus an additional ATK +120% when performing a Super Attack Changes INT Ki Spheres and Ki Spheres of another Type to Rainbow Ki Spheres ATK & DEF +50% and recovers 30000 HP per Rainbow Ki Sphere obtained Reduces damage received by 50%, plus an additional damage reduction of 10% per Rainbow Ki Sphere obtained (count starts from the 3rd Ki Sphere), with 2 or more Rainbow Ki Spheres obtained",,"Greatly raises DEF for 1 turn, causes supreme damage to enemy and lowers ATK",,"The Innocents, Revival, Master of Magic, Majin, Infinite Regeneration, Shocking Speed, Shattering the Limit","Majin Buu Saga, Artificial Life Forms, Transformation Boost, Power Absorption, Majin Power, Demonic Power, Worthy Rivals, Bond of Friendship, World Tournament, Tournament Participants, Resurrected Warriors",[],
Base,Super Saiyan Vegeta,Ferocious Saiyan Prince,"HP 13,445 15,245 | ATK 12,076 14,116 | DEF 7,406 8,966","(Extreme) All Types Ki +3 and HP, ATK & DEF +70%","(Extreme) Power Probe ATK & DEF +150% Plus an additional ATK & DEF +100% when performing a Super Attack Ki +1 (up to +5) plus an additional ATK +20% (up to 100%) with each attack received Chance of performing a critical hit +15% with each attack received (up to 60%) and great chance of guarding all attacks when there is another ""Mastered Evolution"" Category ally attacking in the same turn",,"Greatly raises ATK & DEF for 1 turn, causes supreme damage to enemy, greatly lowers DEF and seals Super Attack",,"Super Saiyan, Saiyan Warrior Race, Golden Warrior, Royal Lineage, Prepared for Battle, The Saiyan Lineage, Shattering the Limit","Androids/Cell Saga, Pure Saiyans, Vegeta's Family, Super Saiyans, Mastered Evolution, Worthy Rivals, Gifted Warriors, Battle of Wits",[],
Base,Yamcha & Puar,Lupine Awakening,"HP 16,715 20,115 | ATK 16,384 19,384 | DEF 9,975 12,575","(Extreme) ""Joined Forces"" Category Ki +4 and HP, ATK & DEF +150%","(Extreme) The Wolf's Weak Point?! Ki +5 Plus an additional ATK & DEF +150% when performing a Super Attack, plus an additional ATK & DEF +100% if it is an Ultra Super Attack Launches an additional attack that has a high chance of becoming a Super Attack and if there is another ""Joined Forces"" Category ally attacking in the same turn, launches another additional attack that has a high chance of becoming a Super Attack Plus an additional DEF +150% and character will be stunned when there is a ""Peppy Gals"" Category enemy Plus an additional Ki +3 and ATK +150% and high chance of evading enemy's attack (including Super Attack) when there are no ""Peppy Gals"" Category enemies",,"Raises ATK & DEF for 1 turn, causes colossal damage to enemy and lowers DEF","Raises ATK & DEF for 1 turn, causes mega-colossal damage to enemy and massively lowers DEF","Infighter, Solid Support, Speedy Retribution, The Incredible Adventure, Guidance of the Dragon Balls, Shattering the Limit, Legendary Power","DB Saga, Earthlings, Worthy Rivals, Joined Forces, Bond of Friendship, Earth-Bred Fighters, Dragon Ball Seekers",[],
Base,Jackie Chun,Domineering Victory Declaration,"HP 11,297 13,097 | ATK 10,973 12,773 | DEF 8,174 9,974","(Extreme) ""World Tournament"" Category Ki +3 and HP, ATK & DEF +90%",(Extreme) Master's Pride Ki +2 and ATK & DEF +100% Plus an additional ATK & DEF +100% when performing a Super Attack Rare chance of evading enemy's attack (including Super Attack) ATK +30% (up to 150%) and chance of evading enemy's attack (including Super Attack) +20% (up to 60%) with each attack received DEF +30% (up to 150%) and chance of performing a critical hit +20% (up to 60%) with each attack evaded (including Super Attack) Survives K.O. attacks when HP is 10% or more,,"Greatly raises ATK for 1 turn, causes supreme damage to enemy and seals Super Attack",,"Supreme Warrior, World Tournament Champion, Guidance of the Dragon Balls, The Incredible Adventure, Brainiacs, Gentleman, Shattering the Limit","DB Saga, Earthlings, World Tournament, Tournament Participants, Earth-Bred Fighters, Planetary Destruction, Battle of Wits, Accelerated Battle",[],
Base,Krillin,Earth's Vanguard Fighter,"HP 9,409 10,969 | ATK 9,175 10,975 | DEF 4,933 6,973","""Earth-Bred Fighters"" Category Ki +3 and HP, ATK & DEF +50%","Earthling Fighter's Perseverance Activates the Entrance Animation (once only), chance of performing a critical hit +82% for 3 turns from the character's entry turn and ATK & DEF +180% for the rest of battle when all allies are Super Class upon the character's entry ATK & DEF +150% when attacking Launches an additional Super Attack when facing 2 or more enemies ""Earth-Bred Fighters"" Category allies' Ki +2 and ATK & DEF +20% Recovers 20% HP at start of turn and guards all attacks within the turn when all allies attacking in the same turn are ""Earthlings"" Category characters Plus an additional ATK & DEF +20% for ""Earth-Bred Fighters"" Category allies and high chance of evading enemy's attack (including Super Attack) when there is an ally whose name includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded) on the team starting from the 5th turn from the start of battle or when there is an ally whose name includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded) attacking in the same turn Animations: Entry",,"Greatly raises ATK & DEF for 1 turn, causes supreme damage to enemy and greatly lowers ATK",,"High Compatibility, Courage, Turtle School, Solid Support, Patrol, Resurrection 'F', Shattering the Limit","Earthlings, Bond of Parent and Child, Bond of Friendship, Movie Heroes, Turtle School, Earth-Bred Fighters, Defenders of Justice, Battle of Wits",[],
Base,Super Saiyan 3 Gotenks,Grim Reaper of Justice's Rampage,"HP 14,587 17,187 | ATK 14,610 18,010 | DEF 8,560 11,560","(Super Extreme) TEQ Type Ki +4 and HP, ATK & DEF +100%","(Super Extreme) Furious Fighting Spirit ATK & DEF +150% Plus an additional ATK +200% and DEF +100% when performing a Super Attack Super Class allies' DEF +33% and Extreme Class allies' ATK +33% for 3 turns from the character's entry turn Plus an additional ATK & DEF +100% when Ki is 11 or less Plus an additional ATK & DEF +50% with each attack performed (up to 150%) If all allies attacking in the same turn have obtained a Ki Sphere, chance of performing a critical hit +50% and reduces damage received by 50% within the same turn when the character's Ki is 11 High chance of evading enemy's attack (including Super Attack), plus an additional chance of evading enemy's attack (including Super Attack) +33% when performing a Super Attack if Ki is 12",,Causes supreme damage to enemy and greatly lowers DEF,,"Super Saiyan, Fused Fighter, Over in a Flash, Limit-Breaking Form, The Innocents, Fierce Battle","Majin Buu Saga, Hybrid Saiyans, Youth, Super Saiyan 3, Power Beyond Super Saiyan, Fusion, Fused Fighters, Rapid Growth, Mastered Evolution, Time Limit, Final Trump Card, Earth-Bred Fighters, Gifted Warriors, Saviors, Connected Hope, Entrusted Will, Heavenly Events, Special Pose",[],
Base,Captain Ginyu (Ginyu Force),Unprecedented Elite Team,"HP 20,600 23,600 | ATK 16,000 19,000 | DEF 12,825 15,825","""Ginyu Force"" or ""Special Pose"" Category Ki +4 and HP, ATK & DEF +150%","Supreme Pose Activates the Entrance Animation (once only), Ki +3, ATK & DEF +150% and launches an additional Super Attack for the rest of battle and all allies' ATK & DEF +25% (self excluded) for 3 turns from the character's entry turn when there are 5 or more ""Special Pose"" Category allies on the team upon the character's entry Ki +2 and ATK & DEF +150% Guards all attacks and attacks effective against all Types when all allies attacking in the same turn are ""Special Pose"" Category characters Reduces damage received by 7% (up to 35%) before attacking and chance of performing a critical hit +7% (up to 35%) when attacking per ""Special Pose"" Category ally on the team ""Special Pose"" Category allies' ATK & DEF +25% (self excluded) for 2 turns with an INT or Rainbow Ki Sphere obtained Plus an additional ATK & DEF +50% within the same turn with a Type Ki Sphere obtained (INT excluded) Animations: Entry","Active Skill Special Fighting Pose Condition: Can be activated when all allies are ""Ginyu Force"" Category characters starting from the 3rd turn from the character's entry turn, or when all allies are ""Special Pose"" Category characters starting from the 5th turn from the character's entry turn (once only) ATK & DEF +25% in battle; all allies' ATK & DEF +15% (self excluded) in battle Animation: Play","Greatly raises DEF for 1 turn, causes colossal damage and stuns the enemy",Massively raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy; raises allies' ATK & DEF by 30% for 1 turn (self excluded),"Gentleman, Respect, The Ginyu Force, Loyalty, Signature Pose, Fierce Battle, Legendary Power","Planet Namek Saga, Joined Forces, Ginyu Force, Space-Traveling Warriors, Dragon Ball Seekers, Terrifying Conquerors, Special Pose",[],
